avganncount,incidencerate,medincome,popest2015,povertypercent,studypercap,medianage,percentmarried,pctpubliccoveragealone,pctmarriedhouseholds,birthrate
1397,489.8,61898,260131,11.2,499.7482038,39.3,52.5,14,52.85607588,6.118831029
173,411.6,48127,43269,18.6,23.11123437,33,44.5,15.3,45.37250044,4.333095578
102,349.7,49348,21026,14.6,47.56016361,45,54.2,21.1,54.44486837,3.729487817
427,430.4,44243,75882,17.1,342.6372526,42.8,52.7,25,51.02151448,4.603840773
57,350.1,49955,10321,12.5,0,48.3,57.8,22.7,54.02745995,6.796657382
428,505.4,52313,61023,15.6,180.259902,45.4,50.4,20.2,51.22035959,4.964476021
250,461.8,37782,41516,23.2,0,42.6,54.1,28.7,51.01389975,4.204317269
146,404,40189,20848,17.8,0,51.7,52.7,24.1,48.96703297,5.889178996
88,459.4,42579,13088,22.3,0,49.3,55.9,26.6,53.44699778,5.587583149
4025,510.9,60397,843954,13.1,427.7484318,35.8,50,16.5,50.06357342,5.533430211
113,413.3,54721,16252,12.7,0,54.4,56.8,18.3,50.0389206,4.586129754
740,499.3,51395,121846,15.7,837.1222691,41,53.6,20.2,52.93732685,5.818153266
55,398.9,52673,11339,12.6,0,45.2,54.4,20.5,52.94771969,4.805591962
3438,493.4,71890,772501,9.9,138.5111476,37.6,52.1,14.1,52.72049671,4.729251068
2265,440.7,50083,490945,16.3,462.3735856,37.2,49.4,21.4,48.18837711,5.355835918
251,423.8,43823,43791,19.3,0,46.2,57.2,24.1,55.21239889,3.631082062
1390,495.9,61653,269536,11.9,207.7644545,38.5,52.4,13.7,50.87449211,5.180155167
32,463.2,51022,4042,13.9,0,52.1,53.5,20.4,53.37995338,0.535475234
305,442.5,49819,60338,15.7,464.0525042,36.9,46.5,18.8,49.3270649,4.138710893
1081,490.9,53733,212284,15.7,249.6655424,36.5,47.5,17.4,48.06875024,4.4729858
134,390.5,41837,48177,28.4,0,24.2,36.1,11.9,40.55405483,3.304159034
958,411,44342,248830,20.5,301.4106016,32.5,48.6,22.4,50.66898414,6.560611666
94,445.2,35615,16704,21.5,0,41.5,52,26.4,55.28885946,2.292860865
499,463.1,56737,111901,13.2,89.3647063,38.4,51.8,17.3,51.52350516,4.872468117
152,501.8,37625,23372,22.1,0,41.9,55.2,25.4,53.06378967,4.220287661
80,396.6,33817,14415,22.2,0,44.5,52.4,25.4,53.27269485,5.469020422
164,481.6,43572,23350,15.1,0,45.9,50.3,19.4,47.58723829,4.970530452
564,483.4,34887,96844,21.9,330.4283177,38.5,43,21.7,40.76501639,4.521925134
50,459.9,32162,7470,21.8,0,47,55.7,25.2,53.33333333,4.780114723
70,591,32961,8910,25.1,4938.271605,43.3,55.8,32.5,58.09248555,8.753056235
25,234,41838,8176,17.4,0,43.7,45.8,25.4,53.92670157,6.016466118
280,457,36739,44997,21.4,0,43.2,50.9,27.8,49.88397759,6.526136485
45,463.1,32705,8518,28.9,0,38.4,43.2,18.8,52.58746356,2.328431373
58,356.3,41039,11766,17,0,45.6,50.5,21.2,55.4011976,3.528435035
250,494.9,36996,35516,21.1,0,45.3,52.2,22.1,47.48027903,4.354354354
145,475.1,35980,23353,21.2,0,44.6,38.7,31.1,33.68648224,2.28320067
218,495,48178,29815,12.9,0,45.6,51.8,17.1,48.44113541,5.693029274
68,374.9,41010,13852,15.3,0,44.5,50.1,19.1,51.41582622,2.955003358
449,506.6,42121,68714,13.9,160.0838257,42,52.4,21.3,49.69820377,5.060383303
182,475.8,41121,29237,16.7,0,42.6,54.5,21.3,55.45062062,4.735242361
245,423.7,66950,56482,10.2,0,39.7,53.3,14.6,54.09965078,4.995519713
1285,508.7,43936,188332,16.8,191.1517958,42.8,47.9,20.4,43.74346505,4.091266719
124,553,40568,16448,20,0,43.3,50.6,26.9,49.87741342,4.374100719
139,513.2,34295,21415,24.4,46.69624095,41.9,50.6,31.6,52.9271954,2.635983264
245,523.9,36437,34707,20.2,28.81263146,42.6,53.1,25.8,52.33924375,4.195713917
137,457.1,24707,19835,34.9,0,44.1,46,37.7,44.26650367,3.860072376
373,510.9,43729,56925,17.9,0,41.1,51,18.3,49.46399182,5.113459745
208,456.3,43356,31978,15.2,0,44.3,57.7,17,55.3172673,3.174132305
168,463.4,35799,27037,20.6,1146.576913,43,51.6,26.6,50.71046319,3.66910141
418,493.8,35046,61164,20.5,81.74743313,42.3,50.6,27.1,48.3713803,4.807972069
170,456.6,40012,27451,16.1,0,43.2,44.2,23.3,42.97381269,7.391231312
163,507,29839,25292,28.1,0,41.7,55.6,31.3,52.14865363,2.796024928
382,444.5,43835,104236,22.5,95.9361449,30,37.2,12.4,40.42122317,4.001671717
86,434.6,36351,13506,19.3,0,46.6,56.8,23.7,53.16042597,6.07651913
105,425.4,44446,17524,13,0,46.1,47.7,17.3,45.14153511,4.090035685
160,455.5,36375,25594,19.6,0,43.4,57.9,23.5,55.74302401,3.346456693
308,500.9,40195,43066,18.4,301.8622579,43.3,45.2,16.8,42.92698827,3.257226644
45,381.8,38204,7229,16.7,0,49.1,55.3,24.1,54.86268174,7.611940299
45,458.9,44801,7674,16.5,0,43.6,55,17.7,56.79225717,2.966381015
50,384.8,34341,8607,17.6,0,48.4,56.4,23,53.27803051,4.256631709
183,435.3,41420,33940,17.6,0,42.3,53.3,21.1,56.80724824,4.038301415
328,497.2,59472,56848,10,211.0892204,41,57.4,15.8,58.72299258,6.034482759
482,469.6,40270,77510,17.7,12.90156109,41.6,51.3,24,49.67065294,3.77850558
161,405.2,37468,29126,20.8,0,43.2,52.2,23.4,51.97613076,4.231027535
72,502,46383,9982,17.7,0,45.2,49.5,24.3,49.74632166,6.267539757
89,449.2,33041,14435,23.1,0,44.2,53.9,32.6,52.19686649,2.353331124
76,377.1,32456,13239,25.8,0,46.3,53.5,24.7,50.44770774,3.812668868
87,400.9,40305,16912,16.8,0,43,52.3,20.6,52.0647653,6.801152738
